prompt,completion
play sirius on satellite radio,36
book three round trip train tickets for sunday at seven p. m. return ticket of next week sunday at eight am,2
i want to hear unk song unk,45
turn up the lights please,18
what is the definition of a probiotic,26
how the people are suffering how you would help,12
where are the rockies located,49
show me tomorrow's weather in this area,13
i want to listen to classical music,45
give me the exchange rate for the us dollar and the euro,10
add new email address,15
schedule a meeting with brian billings for two thirty p. m. on friday,50
yes or no tomorrows temperature is to be hot,13
uber please,54
schedule meeting with our employees regarding bonus,50
hey i want to get trains to manchester on wednesday,2
please describe the new harley davidson street bike,26
go to next episode,58
it was a cool day,12
remind me to call the bank next thursday,50
todays news,22
olly where is a nearby park where i can go running,19
turn on the radio on this channel,36
what's on the news today,22
play blackeyed pees song,45
tell me the current time in central time,0
give me the alarm times for the next two days,23
send an email to my boss about my leave,33
open email for unread mails,44
create event,50
add ashley to the wedding invite list,21
do i have anything scheduled today between three and four p. m.,32
find map,49
report what is new in my email inbox please,44
can you tell me what an chaise is,26
where is my food,3
solution,39
give me a newspaper,22
i need to mute the speaker,46
set the event to recur every week,50
do i have any new email from ryan,44
turn on plug,24
which new emails were received,44
buy a train ticket from lakeland florida to new york,2
show me a forecast,13
what is the definition of business,26
please turn on the lights in my house,41
play next song on track,45
play hurt by johnny cash next,45
source and destination,2
please brief me about this week's weather,13
what ingredients are needed for making biryani,9
what does a basketball feel like,49
i want to see the previous episode,58
what's next in my calendar,32
what are the events taking place in new york today,6
play for me hip hop music,45
turn off my wemo plug,8
find a joke in your vault and tell me,25
what is the temperature today,13
what's kim kardashian's measurements,49
turn the chandelier all the way up,18
calculator,26
book me a train ticket in any train to bombay for tomorrow,2
best shop in local area,19
start a takeaway order for me,16
shuffle music,28
what is the distance between new york and berlin,49
rock with rock star,45
tell me what's trending on twitter,27
reserve train tickets,2
loudly,14
remove event from calendar,30
can you tell me the current time,0
i want topics on latest news,22
i want some coffee,56
play last reason podcast,58
too private,12
turn the lights on party mode,1
show meaning of clarion,26
will there be a farmers market in the area this weekend,6
make me a cappuccino,56
are there any accidents on my way to work,11
call the closest mexican restaurant,16
give me the exchange rate between united states dollar and canadian dollar,10
play all indie pop songs,45
i've got a meeting by tonight seven p. m. please mute the music for an hour,46
brief me about my news feed stories,27
how old are kim kardashian's children,49
play nineties alternative,45
what is going for tomorrow,22
please turn off wemo socket,8
let me know the weather for today,13
give me a reminder at eight p. m. for the game,50
play my book,20
can you get me a cup of coffee,56
olly tell me what's new,27
strings and pianos but only acoustical guitar not electric please,45
please give me update of cricket,22
set a reminder to happy thing every two days,50
make the volume to zero,46
update my calendar and delete next event,30
explain object,26
what is marketing,26
change the color of my lights to something random,1
status of my inbox,44
what rohan have to say about marriage when he meet me today,32
a priest walks into a bar,25
please read the last email for me,44
give me the local time of london,0
i want to order a takeaway from papa john's,16
when is the next train to rome coming,42
make a meeting with friend,50
what is the weather in paris,13
what is the weather like in new york,13
stock exchange rates,4
play me some jazz,45
add event to calendar,50
is there any traffic on my way to work,11
delete everything for this month,30
please show me the local weather,13
how to make chicken tikka,9
can you please buy me a train ticket,2
please be quiet,46
read upcoming event's,32
please delete all calendar events,30
when is my anniversary,32
google i need the living room vacuumed can you turn on the vacuum cleaner,34
i need a ticket on the train to new york city tomorrow,2
what's the best podcast,58
can you tell me the next scheduled event,32
please set an alarm for tomorrows meeting at seven am,48
store my contacts,15
please tell me the main points of my two hundred meeting from this afternoon,32
stop,46
hey google can you tell me what the white house is,26
what time is my meeting,32
cancel event,30
what does diverse mean,26
what's the funniest joke,25
add light,18
is the weekend going to be nice,13
add work email address,15
how many emails do i have,44
remove that event from my calendar,30
which event should i attend in my area,6
how will be today for me,32
answer paul's email,33
can you tell me a good place to eat,19
is there any traffic right now,11
olly can you play hunt for red october,20
make a coffee for me,56
what is on my shopping list,59
news around the city,22
how the weather today,13
what's happening in my social media,27
get news from b. b. c.,22
say some jokes,25
not use,46
turn off lights in kitchen,40
open lyrics name,20
weather today,13
did mom text me,17
please remove the grocery list from my set of lists,53
what kind of lists do i have,59
how was the weather this week,13
add chives to my shopping list,21
olly cancel all events in the next two days,30
ask a shopping malls in me area,19
please can i know what time will it be at six p. m. here in australia,38
book ticket for paris by train,2
look for new emails,44
set an alarm for time,48
hey how's it going,12
turn the vacuum on,34
get rid of this list,53
set a meeting with the h. r. department for the end of the month,50
i need to know where to get chicken wings in benton are,19
make a calendar note exhibition two thousand and seventeen mass on mar twenty five,50
please reply to the email,33
add rebecca green to my list of favorite contacts,17
how to best prepare a salmon or haddock,9
i like to listen to hindustani music,45
do i have the contact of tara john,17
is there any new unread yahoo email,44
tell me when there is new news about donald trump,22
search for a train ticket to newcastle,2
turn volume up to highest level,14
who has written to me or mentioned me in social media,27
olly what fun stuff can i do around here,6
start radio and go to frequency on nine hundred and forty three,36
send an email to my sister,33
listen to n. p. r. radio,36
turn off on the socket,8
reset alarm,52
play san andreas game,51
what's a new sci fi movie,55
how do i go to athens by train,42
olly do i have any new email from ryan,44
i want to listen to classic rock,45
please turn up the lights in this room,18
check my email,44
more light please,18
fix the driving route from here to grant market,42
tell me the news,22
please turn on ninety nine point five,36
i want a train ticket to oregon,2
open minestart game from previous played level,51
order some fried chicken from church's chicken via grubhub,16
please tell me the time,0
can you create a new list in the playlist,21
exchange euro to dollar,10
what's on tomorrow night,32
give me moscow time,0
ask me an arithmetic question,12
turn off the lights in this room please,40
can you increase the volume of the speakers,14
play some soft jazz,45
switch the station to eighty nine point four,36
what are we doing next week,32
book an outstation cab of ola,54
what's playing in the roosendaal cinema,55
it would be nice if you could play with my kids,12
play the gilmore guys podcast,58
keep me updated on stock market prices,4
initiate celine dion music,45
is it gonna be cloudy,13
open map,49
look up contacts,33
book me on a train leaving penn station tomorrow traveling to any city more than two hundred miles away,2
jazz,45
what is on this list,59
remind me in the morning to call my mother,50
through outlook,33
i need to set an alarm tomorrow at one thousand two hundred p. m. to remind me to take my medication,48
any fast food meal offers,16
i have a meeting by two p. m. today please remind me,50
train schedule,42
repeat jazz,28
play me the new podcast from n. p. r.,58
play firework by katy perry,45
does this restaurant only do carry-out,3
is it snowing in california,13
add happy new year to calendar,50
delete the vacation things to do list,53
check for me new emails received from peter,44
maths solution matters,12
what is the best italian restaurant around here,19
please check the exchange rates of the us dollar versus the euro,10
silent mode,46
play next nutritional facts,58
my day was stressful,12
change the living room light to yellow,1
take me to emails from my boss,44
list the current price of microsoft shares,4
what music genre do i play most,57
skip to the next song,45
how me the latest news update on b. b. c.,22
define acceleration,26
how long is the nile river,49
what is the shallowest piece of land,49
i want exact time in washington right now,0
the song touches my heart,43
i would love the wemo socket to not be active right now,8
find me a zoo or animal park in chicago that open this weekend,6
bypass certain passwords,49
turn on the marc maron podcast,58
tell me the time of train vf,42
please write to this email,33
please read out the tasks from the list for today,59
start playing f. m. ninety six point five when it is one p. m.,36
can you give me a ten minute timer,50
play all songs by anirudh,45
play i spy with me,51
erase previous list,53
i want to eat something will you order food for me,16
book train ticket to new york,2
best,32
i'm in a meeting please do not speak,46
also a pleasure,12
what is the time now,0
new york time,0
send an email to frank at work,33
tell me what day of the week it is,0
what date is justin's school play,32
show me the latest news update on b. b. c.,22
what are the current stocks for yahoo,4
play from favorites song,45
raju phone book,17
please turn the lights up,18
will it rain later in manila,13
church with mom and dad on sunday,50
tell me the time in moscow,0
will you please post this to my facebook i love you,47
let me see cultural events for this weekend in palermo neighborhood,6
what alarms are set right now,23
if i was in the eastern time zone what time would it be,38
what would africa look like in ten years,12
please tell me a joke,25
i want you to put on be warned by tech nine,45
olly i need that appointment posted to the calendar,50
make the socket available for me,24
who is going to my meeting at nine am,32
send john a mail for financial report two thousand and seventeen,33
send mail to sil for cap,33
meeting please set reminder,50
add an event for july thirtieth named birthday,50
finance,22
play one through ten on list,45
cancel the list,53
how much are train tickets to vegas,42
i helped a poor needy today olly,56
it is too dark in here increase the brightness of the lights,18
can you add gloria to my list of clients,21
start the vacuum at nine am,34
what has shown up in the news recently,22
show me the directions to the closest starbucks,42
what is the weight of an elephant,49
please turn off my smart plug socket,8
please give me the time,0
i want topics on music,57
is it snowing in seattle,13
turn on the radio,36
my review,43
what is the definition of this word,26
open a new email to contact,33
when is my mortgage due,32
remind me about meeting at eight am to twelve p. m.,50
please tweet the following to radisson hotels customer service,47
hi i will need my coffee brewed at seven am today,12
go to my gmail and click on compose when finished i will tell you what i want to write in the email,33
make a post,47
between one thousand nine hundred and ninety and two thousand music album is only to be played,45
play previous episode,58
send a tweet to at modcloth that i don't like that they wouldn't honor sales prices for me,47
email joejoe at gmail dot com,33
change light color to yellow,1
tell me what's on my shopping list,59
check for new email,44
play my rock music playlist,45
do i need to bring an umbrella to manila this afternoon,13
where is steven spielberg living,49
current price of google please,4
i want to listen to the bob and tom show,36
what songs are on my favorite list,59
date of joining,50
don't respond for fifty seconds,46
play squash with me,51
show me all of my active alarms,23
hello google take me to google calendar please,50
what day of the week is my birthday this year,32
how far is florida from north carolina,49
log a complaint to l. g. a. c. to customer service,47
tell me the name of that song,57
should i wear sunblock today,13
please play artist first in queue,45
what causes if i had junk food and alcohols,12
what is happening olly,6
add a item,21
i want to remove the wedding function on saturday,30
tweet at a complaint,47
turn on this socket,24
what events are happening in seattle this weekend,6
filter all arijit singh sad song and save or create playlist of sad songs of arijit singh,43
tell me starting phrase of this music,57
give me the news on my provider,22
remove the list of apps which started with letter a,53
raise volume to level seven on music player,14
will it be sunny on friday,13
what are the items on my list,59
what time is my eye doctor appointment on the twenty third,32
what is there to do in new york city,6
i want to listen classical music,45
what time do i have appointments today,32
i want to hear song,45
provide valid references with information to help people understand critical thinking and giving credit where credit is due rather than perpetuate fake news and alternative facts,49
meeting this friday,50
do i have any remainder next sunday,32
how far in steps is home from here,49
turn to station one hundred and two point seven ally,36
what to i have on the schedule tomorrow morning,32
turn on my plug,24
replay the god of small things,20
are there unread emails in my inbox,44
tell me a joke,25
please tell me the closest convenience store to my house,19
what is the stock price for,4
make alarm reminder for calendar,50
listen to sports talk,36
i need you to add this email in my contacts,15
continue from where we left off in divergent,20
open media player and play my gym playlist,45
tell me about mount rushmore,49
yo order take out from jason's deli on sixth avenue,16
set a notification for fifth march that i have a doctor's appointment at ten am,50
i'd like to know more about the scheduled event,32
email work team this week's schedule,33
where the meeting will be,32
olly please turn off the smart socket,8
how do i roll sushi,9
remove the milk from the shopping list,53
take eggs off the list,53
how's the weather going to be this week,13
when will team meeting start,32
alexa provide me the alarm times you have set,23
stop playing,46
tell me the top stories in the news,22
give me the definition of the word haughty,26
have i received any emails from my mother,44
work sucked today,12
will i need sunscreen today,13
tell me the singer of this track,57
morning what's up,5
shall we meet for today's party,32
take off my alarms,52
repeat all,28
read out my list,59
remove list,53
notify all birthdays next week,50
remind me at the start of each month,50
tell the latest news about the trump,22
celebrity news,22
play songs by nkotb,45
can you put the lights on the high setting,41
please turn off the lights in the kitchen,40
get me to alarm setting,48
how do i get to dunkin' donut in atlantic city nj,42
erase my next calendar event,30
how long should you cook a whole chicken in a three hundred and seventy five degree oven,9
did marckel replied to me on mail,44
play song over the rainbow,45
who is going to the party,32
recollect next week g. m.'s meeting,50
send email to my brother,33
play old,36
please open audible app and resume play,20
mobile shop,19
i fell at work today,12
what is the biggest blockbuster this week,55
please sound an alarm three hours before a scheduled event,48
what's the traffic this morning,11
set an alarm in an hour's time,48
i need to book a train ticket from mumbai to goa,2
please list my query,59
what fun things are there to do in this area,12
make sound louder,14
my calendar is to be updated with all rccg march event,50
cricket update,22
give me the exchange rate between united states dollar and japanese yen,10
find new trump articles but not from fox news,22
what's the stock of apple,4
play favorites,45
show me the picture of the singer,57
for the next three sundays remind me i have yoga class at noon,50
play justin bieber on shuffle,45
show me some news from b. b. c.,22
ok next what,12
start playing music from favorites,45
i want to know if i have any emails with the subject line budget from eddie richards,44
play latest songs for me from the net,45
what is the weather near me,13
what events are scheduled this week,32
top ten movies,55
please add party at chucky cheese to calendar,50
open chess game,51
remove chat with allan,30
i would like a cup of coffee,56
olly what's the weather right now,13
read out my list for today,59
has the budget been voted on yet,22
what is the chance of rain today,13
please say to the email that sent me george i need the money now its urgent,33
olly i need to hear notorious thugs by bone thugs now,45
start complaint to walmart,47
when is saint patrick's day,49
i need to remember to get to the shops before they close,50
add remember to call mom to my reminders,50
remind me of the meeting with my teacher today by five p. m.,50
hey olly what will the weather be like to today in los angeles california,13
is there traffic,11
what time is it now in the eastern time zone,0
what is the animal with a duck bill and a beavers tail,12
what time do i have down for susan's party,32
tweet a complaint to aldi consumer service,47
is there any affairs of ileana d'cruz,49
what type of music do i enjoy,57
add a meeting with architect to my new project list,21
please note today a terrible things happened to me because my friend behaved rudely on me,12
what music do i prefer,57
start audio book the two towers,20
what are my appointments for twelve p. m. to four p. m.,32
does fongs have delivery,3
how old is joanne,17
show me what shops are around me,19
please schedule all my doctors appointments,50
can you upload my latest selfie in my social media,47
set event in the calendar,50
schedule an alarm for next week's dentist appointment,48
how tall is trevor noah,49
encourage the students,12
please play the song smile for me,45
alert me two hours before my meeting on tuesday with client happening at ten in the morning,50
edit list,21
what will the weather be like in two weeks,13
is my daughter's play friday night,32
how do i cook a hard boiled egg,9
why does tom izzo look like a whiny bitch when his team plays,12
alexa who is bob dean,49
get me a radio station that plays classical music,36
play music radio for me,36
climate details now,13
set up notification for meeting,50
olly remove stand-up on friday at ten am,30
how much is a call per minute to mauritania,12
request an uber now,54
google home,22
during the daytime all lights has to be turned off,40
play soft instrumental songs,45
list me the remainder of things left on the list,59
weather this weekend,13
please start joe rogan podcast please,58
what t. v. show is jennifer aniston on,49
where can i find this song,57
please turn off the wemo plug,8
google find and play florida georgia line the one with nelly,45
add my meeting in google office tomorrow ten am,50
change my mum's email in my phonebook,15
do i have any tasks today,32
is there any rap that doesn't involve sex money and drugs,57
find unread emails received from peter today olly,44
tell me my meetings this wednesday morning,32
olly i want to listen to one oh one point one the whiz,36
i would like for us to play jeopardy now,51
tell me my list,59
in another city what time is it,0
olly what is the weather like this week,13
reminders,50
can i order take out food at this time,16
i need help making pancakes,9
the origins of the universe,12
play major tom by david bowie,45
where is george w. bush from,49
give me the shopping list,59
look for train tickets to edinburgh tomorrow,2
where is the nearest train to me,42
alexa i would like my to tell me the trend on foreign exchange rates,10
olly can you please turn off the light of my bed room,40
what asian restaurants nearby offer to go food,3
do i have a new email from eric,44
cancel my three p. m. alarm,52
decrease speaker volume,35
remove this event from my calendar notification,30
find places to eat near my home,19
play human nature of michael jackson,45
delete marriage july three,30
warm wishes to mac for new job,12
it will be good if you yellowish the light,1
olly can you tweet for me to amazon services for not delivering my product on time,47
how about the latest news,22
current time please,0
what is the price of ford stock,4
show me articles about the new iphone eight,22
is it probable that there would be rain in the forecast today,13
please send mom an email saying that i can make it next week,33
check the notes app and give me details of all the lists,59
at four p. m. how long will be the remaining travel time to the destination,42
add a new notifier for the g. p. s. on my car,22
please adjust the colors in my lights,1
ten percentages of hundred,39
play some music,45
can you tell me more about that festival,12
play skyfall next,45
what kind of music am i into,57
recommend a wine tasting event this weekend in chicago,6
please darken the lights,31
play crystal lewis's beauty of the cross for me,45
olly tell me where the local shopping district is,19
has the university of greenwich emailed me,44
olly start coffee at six am,56
check wikipedia for a definition of the word homosapien,26
geography melbourne,49
who has won the most number of oscars ever,49
play me the top one radio channel,36
add weekly one p. m. call to calendar,50
how many meetings did mahatma gandhi undertake,49
tell me about sean connery,49
skip to the next episode in this podcast,58
the time in cairo please,0
i cant hear a thing,14
do i need to put a jacket on when i go outside,13
use this program,36
what is a monitor,26
please play some songs for kids,36
what are the local events,6
any recent emails from anna,44
please send a notification when john replies,44
order a pizza for me,16
if it's midnight in colorado what time is it in munich,38
open lyft,54
change your colors to something different,1
add this event to my calendar,50
remember this music,43
olly recommend a restaurant with medium expense,19
my day was pretty hectic today,12
what is the theme of the party,32
cook me some pasta with cheese and honey in it,9
read me the newest article on the new solar system,22
how does a cheetah look,26
please start the playlist huey lewis and the news,45
olly all new mail,44
tell me the nearest location,53
when is my order arriving,3
all music released between one thousand nine hundred and ninety and two thousand is only to played,45
add to the list,21
resume audio playback of twilight,20
refresh my email,44
tell me what is on the schedule for july seventh,32
hey siri play me an automated playlist based on songs heard in gaana app this week,45
does peking garden do orders online,3
make an alarm for the morning,48
is it bumper to bumper,11
call a taxi company,54
alexa how would you describe a ball,26
can you turn off the lights,40
check in contacts,17
check celebrity wiki,12
has the celebrity does any charitable work,12
i'd like an alarm set for this saturday at ten,48
play best hits,45
what is current economy of country,12
can you add this event with joey,50
turn off my wemo plug socket now,8
what time is it in honolulu,0
please reply to this email,33
what makes something head cheese,26
is the four hundred and thirty p. m. train running late,42
create an alarm for six am,48
where is india located,49
add a reminder to april fourth to go to the dentist,50
tell me what is the nicest place to go,19
ask your network,44
i need the details about my next schedule,32
just schedule a meeting with my boss,50
i need to wake up make me the strongest coffee you can make,56
pull up the shopping list,59
tweet this sick today,47
make a note to pay the electricity bill and remind me on saturday at nine am,50
reduce the intensity of lights,31
any new email,44
do i have a work number for susan,17
please tell me when is the marriage of mr. jim,32
review latest movies,12
give me a geographic fact about vilnius,49
life goals,12
made media volume louder,14
who is the artist of this song,57
play my music,45
light settings,1
call and order pizza for delivery,16
take bread out from the shopping list,53
remind me to eat when i get home,50
send this reply to received email,33
what is souffle,26
start radio b. b. c. one,36
food order from grubhub,16
what is the nine am c. s. t. to e. s. t.,38
where is the coldest place in the world,49
make a playlist of motivational songs that can boost my morale while running and jogging and play them,58
what are the latest updates with regard to trump's ties to russia,22
remind me that i have a meeting with cassy for an ola event happening tomorrow,50
show conversion rate of u. s. d. and inr,10
start radio channel ten,36
the latest climate and weather news,22
email family,33
has pound value decreased,10
set regular bi-weekly meeting on fridays three p. m.,50
tell me the current weather for danville il,13
find me a recipe of spaghetti,9
i need to let my small group know the location has changed,50
get me some food,16
olly what do you dream about,12
turn down the lights,31
play lady now,45
remove item four,53
any events in my calendar today,32
find restaurants within one miles,19
i want you to remind me the next meeting with my girlfriend it will be at eight p. m. next sunday,50
can you explain your speech algorithm to me,12
do i have any emails from jo,44
please play are rahman music,45
the song you are playing is amazing,43
who was john dillinger,49
turn down media volume,35
tell me about the federal budget,22
what time is the last train headed to chicago,42
set a notification on third march about company meeting,50
between ten p. m. and seven am everyday all emails received has to be replied to,33
what is on the list,59
order a smoked meat platter from beanos,16
is there any chance of rains in mysore to beat the heat,13
i have all details about pda's,59
when was richard nixon born,49
start a conversation with me about sports,12
olly what's on my lists,59
delete that item from my list,53
find me a time for a meeting with allen on tomorrow,50
remove my office meeting event for next week,30
do i need to apply sunburn cream when i go to golf club,13
tweet british airways that my last flight from chicago to london was delayed,47
schedule a meeting with the vice president on monday,50
show me the alarms i've set,23
how much indian rupees per u. s. d. today,10
please turn the porch light to blue,1
through mobile phones,33
is the pound up or down against the dollar,10
i want you to remove the item from the list,53
what time is it in karachi right now,0
what's the weather,13
what is the definition of textual,26
repeat album,28
raise your volume,14
does dominoes do takeaway,3
play the electronic playlist,45
remind me to meet sarah at safeway in mckinleyville california at noon,50
what is program for today,32
local shops,19
what bands are playing close by,6
start cappuccino for me now,56
give me the stock price of apple,4
delete all of my appointments with doctor smith this week,30
look for song two and play it,45
play pop music,45
olly clean the flat,34
do you want to play monopoly with me,51
when is the next lakers game,49
could you speak up,14
turn off the living room lights,40
what bars are around me,19
origin of word,26
will it be good to buy nike stock today,4
what is the newest news right now,22
what ingredients do i need for tomato soup,9
turn on surfin u. s. a.,45
what playlist is on shuffle,57
please invite kim marc and julian to a meeting on thursday at three p. m.,50
order a large plain pizza from mimo's for me,16
tell me about the latest media trends,12
increase light intensity,18
what is on my schedule for today,32
uber,54
book a train ticket with a berth seat to lucknow for next week,2
i want to hear the latest podcast episode of south town,58
alexa send the email to this new email address,33
play music from playlist,45
nearest way to return home,42
what is eighty seven minus fourteen,39
remember that this is my favorite music,43
what happened yesterday from three p. m. to four p. m.,22
compare weather home and san antonio texas,13
change color,1
can you tell me if my guitar is in tune what i play it,12
please play jocko's podcast,58
i want to hear morning edition on n. p. r.,36
when is dale's birthday,32
what appointments or meetings do i have coming up for this week,32
set a reminder for my meeting today,50
please tell me what is the time in tokyo japan,0
what is the plan for tonight,32
alexa tell me a joke,25
please set the vacuum to start going now,34
is the alarm set for tomorrow morning,23
what is the name of this song and who sings it,57
is my meeting with bob tomorrow at three p. m.,32
i need sport's news,22
when is my lunch break,32
activate the wemo plug socket,24
what is the height of monali thakur,49
play latest reason podcast,58
turn on living room radio,24
what schedule event do i have for this month,32
i want to dance to the tune of raghu dixit,45
i like classic rock,43
do i have an appointment for lunch tomorrow,32
place of train times,42
delete the next event on my calendar so that i don't see it again,30
i want to hear the radio,36
radio play nine hundred and eighty nine please,36
look up recipe and guide for this dish,9
can i have my list,59
what's the current temperature,13
which lists are present in the notes app,59
olly book me a train ticket to new york city on the third i don't care what time,2
search order of the green hand podcast number three,58
how many meetings do i have tomorrow,32
i have practice at wrigley tomorrow at six,50
what are the hours from cvs,12
please add new item to list,21
tell me about my upcoming events,32
play that podcast please,58
weather conditions for the next day,13
macy's forgot to ship two of my items inform them,47
play the last radio channel,36
i wish this event to be removed from my calendar,30
resume the two towers audiobook,20
then tap ok,23
set a meeting on wednesday at three p. m. in room,50
what is happening in milwaukee today,6
list lists,59
can you shuffle the light colors in the house,1
turn on robot vacuum cleaner,34
put the radio on and play radio two,36
how do you feel,12
show chicken tikka recipe,9
write a tweet to this company,47
please order some sushi for dinner,16
slightly raise the light,18
after this song please play this song,45
adjust the volume,29
change the volume,29
turn off light,40
add mop to hardware store list,21
can you tell me the current traffic condition of my location,11
review the alarms i have,23
where should i go this weekend,6
remove,30
what time is it relative to new york,0
tell me about the stock for shell,4
weather boston ma,13
open the list,59
what will the weather be like a week from now,13
what's up in the neighborhood,6
remember how i rate this song,43
how many meetings have there been,32
do i have a party planned this weekend,32
i would like to know the events happening around here,6
play album,45
how many lists are open,59
what is the length of song,57
hey order a side of hot wings with my previous order,16
j.,50
what are the tallest mountains in america,49
search nandy containing payment,44
name the capital of nigeria,49
please reschedule the meeting to six p. m. tomorrow and inform members,50
who has responded to my business within the last twenty four hours,27
remind me of my three p. m. meeting tomorrow four hours in advance,50
turn on hot ninety seven,36
explain how to sear a steak,9
delete an first event of twenty third of march twenty seventeen,30
celeb info,49
tell me about the meeting this week,32
what's your favorite joke,25
attenuate the lights,31
save the opinion that i just posted to this song,43
what is the name of the tallest man,49
when was the last call i received from jordan,17
resume audiobook please,20
what is the average temperature in march for pennsylvania and how does that compare to the last ten years,13
how are the top ten stocks at the moment,4
what is the current dollar to euro conversion rate,10
list new,21
want to play a game,51
remove emma's birthday from events,30
order spaghetti from spaghetti warehouse to bring home,16
is starbucks stock up or down from last quarter,4
please set dinner plans at seven p. m. for every friday in april,50
let me see my alarms,23
what is the b. b. c.'s latest news,22
what is charles's email,17
how do i buy tickets for that,12
this is one of the best songs for me,43
what is the distance to the grand canyon,49
turn the lamp off,40
hey olly list the local shops for me,19
what are today's headlines,22
what does the title of the leo dicaprio movie mean,12
let me know what is remaining on my query,59
what hour of the day is it in dallas,0
tell me how to get from here to the chimes in covington,42
what are the main news stories on the la times now,22
olly,6
post on my facebook account that i got engaged,47
i had a bad day today,12
can you book a train ticket for me under dollars,2
please give height of lindsey lohan,49
what do i have to do today,30
set a reminder for twelve thirty meeting with the boss,50
should i take an umbrella today,13
email staff group distribution about tomorrow's meeting,33
olly send an email to jesse,33
play some rock music,45
does spain share its border with morrocco,49
send a complaint to consumer service of this company,47
delete all events for today,30
do you want to play solitaire,51
when was this song first recorded,57
how many people live in takjistan,49
fast and the furious,55
turn off my alarms,52
will there be snow this week,13
play hula hoop next,45
set a birthday event for wednesday,50
give me options for indian carry-out under dollars,16
turn off the lights now,40
what email was sent at three thirty p. m.,44
i don't want to hear any more songs of that type,7
i said,12
where is raleigh,49
decrease volume to very soft,35
new york time please,0
how many yen for each dollar,10
something,26
is it too cold to go swimming,13
prepare a new list,21
tweet at applebee my chicken was raw number foodpoisoning,47
cancel list,53
do i have an alarm set for today,23
show reminders,32
get me some latte please,56
what's new today,22
what do i have pending,32
lower the lights in the house,31
i would like a joke,25
i'm looking for reasonably priced tapas in miami beach,19
change the lights in my home to orange,1
turn off the alarm for tomorrow morning,52
what are the measurements of a queen mattress,49
porn,12
what was martin luther kings birthday,49
chess playing,51
play rock ninety eight point seven on the f. m. dial please,36
please find me the p. e. most recent news on,22
recorded program may be listened on future days,36
do i have any reminders that are waiting in my queue,32
check inbox for mail from sarah,44
i intended to do it,12
what is the event name going in me area,6
stop making sounds for forty minutes,46
longest river in the world,49
turn off smart socket,8
who assassinated lincoln,49
show last mail from john,44
what does the word labyrinth mean,26
i need a plane ticket,2
when is the party this weekend,32
tell me mary's cell number,17
can you turn off kitchen light for me,40
are there any recall news,22
where can i find a good taco truck in l. a.,19
list the games you can play with me,51
give me some funny facebook posts,27
i want coffee from the machine,56
send a tweet to the local wawa that their service is terrible at their market street location,47
give me the volume settings,29
what movie should i go see,55
read me the most updated news on b. b. c.,22
can you tell me what's on the schedule for tomorrow,32
lists i have,59
turn on the lamp,41
what's the latest news from t. mobile,22
i want to book a train ticket,2
find events near by,6
the email reply should state,33
sports head lines please,22
show me derek's contact information,17
tell me about agra,49
tell me the recipe for mashed potatoes,9
has the war in syria ended,22
delete new year's eve from the calendar,30
delete all recurring staff meetings,30
what day of the week is november fourteenth,0
i ate breakfast this morning,12
please play some music,36
where is mcdo,19
its raining,13
set on second january about soccer match of manchester,50
can you turn on the vacuum,34
please turn the music up,14
what is the capital of washington,49
tell about the latest world news,22
can you make me some coffee,56
olly how much can chris helmsworth bench press,49
have halifax shares gone up today,4
stock price for gss energy,4
now it's five thirty p. m. in india what about the time in ivory coast,38
information on dolly parton,12
book me a train ticket to newcastle,2
play my newest podcasts from radiolab,58
cancel the alarm that is set for tomorrow at eight am,52
please play the following song,45
today's schedule,32
clean my entire calendar,30
how do i steam rice,9
please lower the volume,35
how many fridays are there in may,0
how many days are in this month,0
can you play a song by aerosmith,45
write me a tweet about how horrible their management is,47
how is my inbox looking at the moment,44
make the smart socket turn off,8
find my shopping list and delete it,53
set a weekly meeting for friday nine am,50
is it storming right now,13
what are the longest rivers in the world,49
add mary's birthday on the twenty second to my calendar please,50
what is definition of plot,26
mark on my calendar,50
can locate some gospel music,45
calculate the costs of cable and internet providers in my area where can i save the most,12
remove all upcoming events please,30
start the next episode of the friends podcast,58
remind me tomorrow morning of my schedules for tuesday,50
delivery from dominoes,3
prepare a reply email to mark,33
what are the train schedules to new york,42
try following these steps to select the correct answer,49
at eleven am tomorrow remind me of my three p. m. meeting,50
who is the prettiest actress in the world in this century,49
i want to hear this radio station now,36
i want the room to be less bright,31
quiet,46
refresh email inbox,44
search for gary mcnamara in radio,36
hello has my inbox gone up,44
speak louder please,14
i got a package in the mail today,12
send a tweet to walmart customer service your return policy stinks,47
is the dollar stronger than the pound,10
replay this song i really like it,43
what is the weather where i am at today,13
reply to the email received from jennifer,33
show me map of this location,42
olly switch to red colored lights,1
please turn on my vacuum cleaner,34
i'm not doing thing this week,30
describe your list,59
what time does the train were on arrive at the next station,42
order pizza from domino's,16
open a reminder about next week's managers meeting on tuesday,50
tell me items that are on my shopping list,59
send voice email,33
send the following email to bro hi come down for dinner tonight,33
change lights,1
what is the current traffic in washington town,11
how is weather in new york city,13
display my lists,59
add a new event for tomorrow at five p. m. meet sarah at the gym,50
olly what are the events happening around me today,6
what movies are playing this week,55
would you please notify me about the event in my calendar,50
what's on my shopping list,59
define philosophy,26
play next episode on podcast,58
tell me today's events of mine,32
give me name and type of this music,57
give me the time in phoenix az,0
please repeat the last sentence from that book,20
can i get takeaway from pings,3
are there any m. m. a. events coming to golden one center,32
